Celsius,Fahrenheit,Humidity
2.1,35.78,38.491183947511
1.4,34.52,49.233290103631
1.2,34.16,55.21595616015
1.2,34.16,59.14950633711
0.9,33.62,63.258228580243
0.4,32.72,71.255695750699
0.5,32.9,74.549275717537
0.0,32.0,81.430557804696
-0.5,31.1,86.342574468794
-0.2,31.64,88.959203297722
0.0,32.0,88.976383556033
0.1,32.18,87.68674081206
0.0,32.0,87.67722242965
0.0,32.0,87.67722242965
0.1,32.18,87.68674081206
0.4,32.72,85.803491749899
0.5,32.9,84.561334511156
0.5,32.9,86.446977090174
0.5,32.9,85.814325830311
0.5,32.9,85.185786014014
0.5,32.9,87.724707004096
0.5,32.9,89.019162974217
0.5,32.9,88.369832462568
0.5,32.9,89.019162974217
0.5,32.9,89.019162974217
0.5,32.9,89.019162974217
0.5,32.9,89.672722215681
